Rank,KOL,Point
1,thedefiedge,0.01000501436461196
2,Cardano,0.009967846145733136
3,CryptoGodJohn,0.009930677926825036
4,cryptojack,0.009893509707892599
5,defi_airdrops,0.009856341488950404
6,ArtOnBlockchain,0.009819173270005338
7,CryptoMichNL,0.009782005051057039
8,saylor,0.009707668613226153
9,CryptoGemsCom,0.009670500394281236
10,WazirXIndia,0.009633332175326683
11,BitcoinNewsCom,0.009558995737539936
12,FurionCrypto,0.009447491080779673
13,blockchain,0.009410322861828666
14,AirdropAchiever,0.009261649986057795
15,W3Vibes,0.00918731354821045
16,OwnYourBitcoin,0.009150145329289101
17,CryptoKing4Ever,0.009038640672508657
18,BitcoinChina_,0.008852799577808455
19,girlgone_crypto,0.0088156313588824
20,CredibleCrypto,0.008741294921025261
21,Bitboy_Crypto,0.008704126702119553
22,chiliicrypto,0.008666958483208123
23,Stefanny_Crypto,0.008555453826486868
24,CryptoGemsHub,0.008369612731748301
25,Kylapromo,0.008369612731748301
26,thecryptomonk,0.008332444512839769
27,LadyofCrypto1,0.00822093985603178
28,Blockchain_Ep,0.008109435199215174
29,noxuspi,0.008109435199215174
30,Evaa_Crypto,0.008072266980264385
31,TheCryptoWhale_,0.007923594104485305
32,CGAAPromo,0.007812089447677306
33,ETH_Daily,0.007774921228685
34,web3dome,0.00773775300969265
35,nayibbukele,0.0077005847907003514
36,din_lol_,0.0076634165717080404
37,WeSendit,0.007626248352715708
38,SolanaStatus,0.007626248352715708
39,CoinersTakingLs,0.007440407257754026
40,TheMayaCrypto,0.007143061505815172
41,ALEXLabBTC,0.007105893286822816
42,Ebubechi_GMI,0.007068725067830427
43,cryptogems555,0.006957220410853368
44,bitcoin_dad,0.006697042877906926
45,Glbcryptofed,0.00658553822092989
46,ONTOWallet,0.006548370001937603
47,ton_blockchain,0.006436865344960477
48,TheZaraCrypto,0.006213856031006509
49,ColsonCrypto,0.006028014936044676
50,Mint_Blockchain,0.005842173841082966
51,cryptocomarena,0.005581996308136088
52,CoinDCX,0.005433323432166781
53,web3games,0.005024473022899315
54,RenecBlockchain,0.004875800146821527
55,CremeDeLaCrypto,0.004392613299637341
56,TheW3Space,0.004095267547522828
57,BTCFoundation,0.0037235853575635237
58,Dot_Blockchain,0.0037235853575635237
59,WuBlockchain,0.0037235853575635237
60,TheChainMedia,0.0037235853575635237
61,SwftCoin,0.0036864171385807393
62,mstor168,0.0036492489195979545
63,oasys_games,0.0036492489195979545
64,trigoblockchain,0.0036492489195979545
65,KayBlockchain,0.0036492489195979545
66,ArgoBlockchain,0.0036492489195979545
67,BCBacker,0.0036120807006151607
68,partisiampc,0.0036120807006151607
69,BlockchainNewsM,0.0036120807006151607
70,blockchainrptr,0.0036120807006151607
71,Memento_Bc,0.003574912481632376
72,BlockchainforEU,0.003574912481632376
73,Infinaeon,0.003574912481632376
74,OGblockchain,0.0035377442626495586
75,StanfordCrypto,0.0035377442626495586
76,eWealthatlantic,0.0035377442626495586
77,ice_blockchain,0.0035377442626495586
78,THBWOfficial,0.0035377442626495586
79,IBCProtocol,0.0035377442626495586
80,Wire_Blockchain,0.0035377442626495586
81,AskBlockchain,0.0035005760436667803
82,BlockchainZA,0.0034634078246839656
83,blockchaininfos,0.0034262396057011418
84,BlockChain_CK,0.0034262396057011418
85,LeaksBlockchain,0.0034262396057011418
86,BlockchainYtu,0.0034262396057011418
87,EBlockchainCon,0.0033890713867183436
88,BlockchainEdu,0.0033890713867183436
89,ParisBlockWeek,0.0033890713867183436
90,KBCC_01,0.0033890713867183436
91,XO_app,0.0033519031677355653
92,BlockFoundry,0.0033519031677355653
93,Chiliz,0.0033519031677355653
94,SettleMintCom,0.0033519031677355653
95,EU_EBSI,0.0033519031677355653
96,FukuSquad100x,0.0033147349487527345
97,Neo_Blockchain,0.0033147349487527345
98,flow_blockchain,0.0032775667297699445
99,ChainPeople,0.0032775667297699445
100,krosscoin_team,0.0032775667297699445
101,AlcoholiCrypto,0.0032403985107871554
102,RiotPlatforms,0.0032403985107871554
103,blockchainbob,0.0032403985107871554
104,Oduwacoin,0.00320323029180438
105,BlockchainBoyy,0.0031660620728216223
106,apubcc,0.0031660620728216223
107,m20blockchain,0.0031660620728216223
108,AgoraGBC,0.0031660620728216223
109,RareEvo,0.0031660620728216223
110,vexanium,0.0031660620728216223
111,BlockchainRealE,0.0031288938538388106
112,BlockBonnieC,0.0031288938538388106
113,blockshoweurope,0.0030173891968904233
114,solana,0.0030173891968904233
115,BlockchainAssn,0.0029802209779076446
116,Sanemavcil,0.0029802209779076446
117,DubaiBlockNet,0.002943052758924843
118,Jumboblockchain,0.002943052758924843
119,IstanbulBlockWk,0.002905884539942029
120,BellsChain,0.002905884539942029
121,gicsports,0.002794379882993719
122,Ajay8307,0.002757211664010945
123,CalBlockchain,0.002757211664010945
124,BLOCKCHAINALETS,0.0027200434450281538
125,MetalBlockchain,0.0027200434450281538
126,AcademyPolkadot,0.0026828752260453586
127,klever_org,0.002645707007064908
128,CUBlockchain,0.002645707007064908
129,ethereum,0.0026085387881057175
130,NEAR_Blockchain,0.0026085387881057175
131,blockchaincap,0.0026085387881057175
132,josh_blockchain,0.0025713705691465293
133,BlLife_Forum,0.0025713705691465293
134,Futurist_conf,0.0025342023501873454
135,MFEVBlockchain,0.0025342023501873454
136,blockchain_bron,0.0025342023501873454
137,AgencyMediax,0.002497034131228166
138,Crpto_Integrity,0.0024226976932861907
139,blockchainmkyz,0.0023855294743165196
140,TXblockchain_,0.0023855294743165196
141,_Bblock,0.002348361255344661
142,TienCypress,0.0022368565984297447
143,BEconomy_HQ,0.0022368565984297447
144,Degennick_,0.0021625201604834896
145,BlockAttorney,0.0020510155035663204
146,web3brett,0.002013847284591131
147,BlockchainFF,0.00193951084663776
148,cryptomilliee,0.00193951084663776
149,BlockchainGirll,0.0019023426276501818
150,krakenfx,0.0016793333137247158
151,cryptocom,0.0013076511238489352
152,theUWBO,0.0011589782478986328
153,blckchainsocial,8.988007149856348E-4
